ateco_category,fs_year,ateco_sector,asst_intang_fixed,asst_tang_fixed,asst_fixed_fin,asst_current,AR,cash_and_equiv,asst_tot,eqty_tot,eqty_corp_family_tot,liab_lt,liab_lt_emp,debt_bank_st,debt_bank_lt,debt_fin_st,debt_fin_lt,AP_st,AP_lt,debt_st,debt_lt,rev_operating,COGS,prof_operations,goodwill,inc_financing,exp_financing,prof_financing,inc_extraord,taxes,profit,days_rec,ebitda,roa,roe,wc_net,margin_fin,cf_operations,default_flag,debt_tot,liab_st,fixed_asst_tot,liab_tot,first_year,asset_growth,profit_growth,revenue_growth,EBITDA_Margin,EBITDA_to_Assets,Operating_Margin,Prof_to_COGS,EBITDA_COGS,Liability_to_Equity,Liability_to_Asset,ST_Liab_to_Assets,LT_Liab_to_Assets,Debt_to_Equity,Debt_to_Asset,ST_Debt_to_Assets,LT_Debt_to_Assets,Current_Ratio,Quick_Ratio,Cash_Asset_Ratio,Cash_Ratio,Capital_to_Assets,Operating_Cash_Flow_Ratio,Fixed_to_Total_Assets,Asset_Turnover,Receivables_Turnover,FixedAsset_Turnover,Cash_Return_on_Assets,log_asst_tot,log_revenue,Goodwill_to_Assets
Administrative Services,2012,71.0,6846.0,278061.5,60990.5,1615282.0,1022205.5,60090.5,3528788.5,976654.5,,0.0,25313.5,39535.0,0.0,0.0,0.0,227350.0,0.0,1253470.5,180958.5,1133272.0,1100835.0,40297.0,338368.0,-8039.5,20048.0,0.0,1.0,49341.5,17025.5,21.06,101328.0,1.18,2.915,253133.5,-188979.5,92158.5,0.0,1951679.5,1253470.5,1521294.0,2165557.0,0.0,0.0,-0.1161584822020303,0.0,0.0764379562058222,0.029816568296709832,0.03489632653169793,0.02747441842105835,0.07013605459604297,2.3885706383785825,0.7371283668716248,0.3647667673272663,0.0,2.067946492367119,0.6414332992353515,0.3647667673272663,0.05250180328266784,1.2235374556741947,1.0779882941388392,0.013808902345531535,0.05078022268837009,0.06963164241991543,0.07290358349645502,0.45640082737154297,0.30890861726745567,1.3740213119804048,0.836726264856775,0.025040281689542025,15.076465168859702,14.31727929164001,0.09253552839993953
Construction,2012,41.0,1134.5,147995.5,796.0,2359009.0,500741.0,15283.5,3175087.5,401370.0,,0.0,2816.0,215632.0,219197.0,0.0,0.0,296389.5,0.0,1445422.5,687646.0,854060.0,798725.0,52235.0,186930.0,-36997.0,40920.5,0.0,0.0,12540.0,1716.5,71.51,82217.5,1.58,1.13,763640.5,24707.5,21519.5,0.0,2418541.0,1445422.5,353699.0,2520583.5,0.0,0.0,-0.25997018180424736,-0.07666062997283205,0.08498725785194693,0.0237755304706879,0.05405266710666069,0.04947285010321585,0.08140263759992417,5.732336354047611,0.8841321862106876,0.46119757727394184,0.0,5.4747182546768,0.8485608117792258,0.46119757727394184,0.1934976788996795,1.4880650938954112,0.5283311801421808,0.00413696903694592,0.012274099728726121,0.22568939041693648,0.014085887021605327,0.10015896848883224,0.21326081477760597,1.6586239083092313,3.3007048553949283,0.006234434489703221,14.970845748287845,13.738564716712627,0.04416876023504302
Financial Services,2012,68.0,130.0,1611119.0,77.0,909905.0,148134.5,12721.0,3293719.0,1081148.0,,0.0,0.0,51540.0,184500.0,0.0,0.0,32884.0,0.0,528906.0,955039.5,227188.5,183655.5,33094.0,83099.0,-20274.0,24545.5,0.0,0.0,6697.0,-433.5,-18.98,73164.0,0.98,0.19,189577.5,-493804.0,30981.5,0.0,1908628.5,528906.0,1915237.0,1966654.5,0.0,-0.003176036091563369,-0.2248272876364997,0.0,0.3579802410262665,0.021243042876195453,0.1452598279475407,0.1370937459092958,0.36382527008890236,1.6432208163120317,0.6887571674829667,0.13439817598464732,0.0,1.5790850167893955,0.6641686004939875,0.13439817598464732,0.2716577876555565,1.542097398830363,0.46823345992872994,0.003348123744444608,0.02421586572160621,0.05437283089742471,0.05090460724447092,0.7708078141787922,0.060955272241060204,1.6569437774796723,0.09177542420334146,0.009113949251570837,15.0075278791059,12.424103146649337,0.023921915278476986
Healthcare,2012,86.0,39940.0,1120839.0,6055.0,1852898.0,1404001.0,103836.0,3775825.0,1068917.0,,0.0,217155.0,167685.0,12428.0,0.0,0.0,541711.0,0.0,1479586.0,341340.0,2621014.0,2450846.0,150429.0,1046560.0,-31030.0,42164.0,0.0,226.0,99407.0,38090.0,19.365000000000002,294380.0,3.48,5.4,273072.0,-471290.0,177206.0,0.0,2120270.0,1479586.0,1748019.0,2536173.0,0.0,0.0,-0.03185686796442404,0.0,0.11544645778218421,0.06655219339584506,0.05898686002370904,0.06230339641010537,0.12278276694980725,2.2568906790960326,0.7301103949986327,0.3684271323800302,0.0,1.7803908843305813,0.5948828953327945,0.3684271323800302,0.08623796163660252,1.190748317318901,1.1229626817540386,0.020958645733087464,0.06342496078240792,0.0690859614059245,0.11563055823126112,0.482920688872586,0.6327523085552824,2.04115404232208,1.496636454607698,0.04253994336301499,15.144129459834566,14.779071823763998,0.2527206276879273
Hospitality,2012,55.0,17953.0,2516864.5,1313.0,376251.5,221539.5,21830.5,3471016.0,931317.5,,0.0,13438.5,147631.0,666438.0,0.0,0.0,155800.0,0.0,759898.5,1110810.0,861276.0,861058.5,26994.0,370812.5,-36415.5,39302.0,0.0,1.0,1085.5,-8816.0,-39.46,126706.0,0.74,-0.05,-262769.5,-1630315.0,77457.5,0.0,2117209.0,759898.5,2801260.5,2321205.5,0.0,-0.010088050703306425,-0.1339935757173992,0.0,0.15303320637748172,0.034447839591786336,0.03206540060736475,0.03287398256113429,0.15639600468079237,2.1981027507257327,0.7399833294943223,0.18795459380372925,0.0,1.9589448489480223,0.6608833065916164,0.18795459380372925,0.3175673111958814,0.5384115732794521,0.4422199414379898,0.005313614474269229,0.028246441179052374,-0.06984867579203488,0.09848199124579148,0.9029204651198228,0.20694306098346316,3.9794036546285323,0.24256655322115273,0.020861451693249145,15.059957900595272,13.757797753425208,0.09262193611030758
Information Technology,2012,62.0,52141.0,324073.0,20137.5,1802509.0,1315913.5,86152.0,3099727.0,820055.5,,0.0,140682.5,67527.5,0.0,0.0,0.0,424123.0,0.0,1327789.5,133670.0,2193222.5,2125521.5,79342.0,784132.0,-14172.5,20556.0,0.0,2622.5,63938.5,20932.5,30.92,187049.5,2.4450000000000003,3.91,447365.5,-147411.0,138619.5,0.0,1788288.0,1327789.5,1138556.0,2175142.5,0.0,0.0,-0.032602280246055396,0.0,0.09543404752794175,0.05779844579545577,0.04024750407151645,0.041853346131449184,0.09935758677149684,2.7319073007032975,0.7475601699247718,0.4176578886482567,0.0,2.135810316557281,0.5963927997305026,0.4176578886482567,0.04214369323056261,1.318555201570275,1.1897972021744918,0.023794250792788373,0.0619833828536837,0.1300677829937885,0.11132139452439757,0.3547231020045021,0.6755528123436281,1.7427561310245,1.9691139691881134,0.04151981539509429,14.94682432482031,14.636685230660703,0.23308145444077252
Manufacturing,2012,25.0,27776.0,1013183.5,3789.0,2563850.5,1510215.0,82722.5,4071259.0,1151733.0,,707.0,206646.5,410452.5,120000.0,0.0,0.0,885172.0,0.0,1874272.0,286280.5,3720462.0,3598230.0,108669.5,939765.0,-38063.5,44669.5,0.0,8812.0,67382.5,24094.5,124.42,237488.5,2.82,3.25,561414.5,-72380.0,155493.5,0.0,2358004.5,1874272.0,1281742.5,2714580.0,0.0,-0.0041576270587634565,-0.1117636536070524,-0.02816231927243089,0.06725797421849661,0.05936058788775557,0.03221522057033193,0.03273011055820911,0.06928221867808476,2.4858171460564584,0.7274608486807063,0.48156290757830345,0.0001467473166519128,2.163682831742168,0.6373837192205803,0.48156290757830345,0.06831749245520868,1.294214554855576,0.9142771168788506,0.016974321322377157,0.0367687491798155,0.14352122345191298,0.08107625438083538,0.308028771992132,0.9193219050654,2.472798868675665,3.1934854489593496,0.0380719149463871,15.219462846188312,15.129358408317724,0.22274884588623645
Personal Services,2012,93.0,41018.5,1346383.0,4439.0,1090579.5,576945.5,56535.0,3097041.0,850167.5,,0.0,50622.5,117724.0,131809.0,0.0,0.0,310285.0,0.0,1136956.5,531702.5,1758495.0,1720943.0,42719.5,576014.5,-27103.5,33243.5,0.0,1.0,14658.5,2611.0,-11.15,177599.0,1.275,1.02,-42291.5,-799984.5,116935.0,0.0,1923599.0,1136956.5,1862832.5,2131465.0,0.0,0.0,-0.0772263984474287,-0.005664125714830872,0.12922441227795461,0.050545761925241316,0.029861276171870735,0.029883475018229293,0.13054812756001433,2.419560251107967,0.7596462580466432,0.3299522945716162,0.0,2.098355091107946,0.6585747592443102,0.3299522945716162,0.14264699010590887,0.9321737489442214,0.7823871928417345,0.014048417113749018,0.04932378220923854,-0.014475969974126712,0.11740187442750408,0.6508121809458564,0.4633445718491188,2.7641582232887583,0.7882356151724552,0.03556270243294873,14.945957697460498,14.432461085623096,0.15985567298666892
Primary,2012,1.0,11114.5,2156660.0,543.5,1108783.5,493723.5,20161.0,3808263.0,1001242.5,,0.0,4234.0,111595.5,99038.0,0.0,0.0,232008.5,0.0,1084451.0,816083.0,647173.0,651624.5,19786.5,191382.0,-27314.5,31398.0,0.0,0.0,5457.5,742.5,52.45,75762.5,0.55,0.25,45397.0,-1203159.5,44394.0,0.0,2359837.0,1084451.0,2403668.0,2499521.5,0.0,0.0,-0.18108183387097992,0.0,0.10108274928818105,0.01950648994030566,0.029302530198196782,0.025519005388806543,0.09631370797036148,2.411209899379325,0.7527562061799763,0.25890264950692676,0.0,2.2362528451620927,0.6958336924738664,0.25890264950692676,0.20224274164053407,1.0792452084635429,0.657889738702387,0.004752517760395684,0.022844940288381747,0.012319833512025688,0.04358002341387666,0.7355064458901921,0.1386780627464242,1.5354836536700145,0.1989145255310945,0.011924193158079575,15.152683469462648,13.380368811700997,0.046057244240138025
Trade,2012,46.0,16181.0,392676.0,3144.0,2315992.0,1232052.0,75962.0,3266660.0,752610.0,,0.0,96098.0,339984.0,18224.5,0.0,0.0,933799.0,0.0,1770420.0,180240.0,3926189.0,3820555.0,83550.0,509210.0,-33291.0,39310.0,0.0,2167.0,46176.0,16443.0,74.31,149924.0,2.59,3.43,467330.0,51293.0,83848.0,0.0,2170763.0,1770420.0,670060.0,2364309.0,0.0,-0.009260927317753935,-0.14020299329089972,-0.037886378104812185,0.03882298396253335,0.045384046070278815,0.02199169559235984,0.022139624246967114,0.03943398812076828,3.4476472567376173,0.7939712250931605,0.5787368562479369,0.0,3.180667266781689,0.7307947749318335,0.5787368562479369,0.04983216450398242,1.2367153801475967,0.8218010425398222,0.01928661757802002,0.03651020775613382,0.13747725254243648,0.04332933191727868,0.1819628492330098,1.1630457900742748,2.9751686810566444,7.343673695181886,0.024117774179876483,14.999278614154282,15.188812380368748,0.1441942518415603
